REMOVED
[R.] 7zz                                                                  26.00
[R.] OpenUtau                                                             0.1.565
[R.] SwayNotificationCenter                                               0.12.6
[R.] X-Restart-Triggers-dbus                                              <none>
[R-] X11-fonts                                                            <none>
[R.] additional-cups-backends                                             <none>
[R.] all                                                                  <none>
[R.] apache-httpd                                                         2.4.66
[R.] appstream-qt                                                         1.1.2
[R.] apr                                                                  1.7.6
[R.] apr-util                                                             1.6.3
[R.] ardour                                                               9.2
[R.] atomicparsley                                                        20240608.083822.1ed9031
[R.] attica                                                               6.24.0
[R.] aubio                                                                0.4.9
[R.] audacity                                                             3.7.7
[R.] aurorae                                                              6.6.3
[R.] avr-binutils                                                         2.44, 2.44-dev
[R.] avr-binutils-wrapper                                                 2.44
[R.] avr-gcc                                                              15.2.0, 15.2.0-lib
[R.] avr-gcc-wrapper                                                      15.2.0
[R.] avr-libc-avr                                                         2.2.1
[R.] avrdude                                                              8.1
[R.] ayatana-ido                                                          0.10.4
[R.] bash_profile                                                         <none>
[R.] bashrc                                                               <none>
[R-] beutl                                                                1.1.0
[R.] bibata-cursors                                                       2.0.7
[R.] bison                                                                3.8.2
[R-] bluetui                                                              0.8.1
[R.] boost                                                                1.89.0
[R.] bootloadhid                                                          0-unstable-2012-12-08
[R.] breeze                                                               6.6.3
[R.] brightnessctl                                                        0.5.1
[R-] btop                                                                 1.4.6
[R-] cachix                                                               1.11.0-bin
[R.] cairomm                                                              1.14.5, 1.18.0
[R.] cdparanoia-III                                                       10.2
[R.] chafa                                                                1.18.1, 1.18.1-bin
[R.] chromium                                                             146.0.7680.164, 146.0.7680.164-sandbox
[R.] chromium-unwrapped                                                   146.0.7680.164, 146.0.7680.164-sandbox
[R.] client.conf                                                          <none>
[R.] comma                                                                2.3.3
[R-] comma-with-db                                                        2.3.3
[R.] config.json                                                          <none>
[R-] cpupower                                                             6.19.9
[R.] cups-files.conf                                                      <none>
[R.] cups-filters                                                         2.0.1
[R-] cups-pk-helper                                                       0.2.6
[R.] cups-progs                                                           <none>
[R.] cups.pam                                                             <none>
[R.] cupsd.conf                                                           <none>
[R.] curl-impersonate                                                     1.5.1
[R.] ddcutil                                                              2.2.6
[R-] deadnix                                                              1.3.1
[R.] dee-unstable                                                         2017-06-16
[R.] deno                                                                 2.6.10
[R.] desktops                                                             <none>
[R.] dfu-programmer                                                       1.1.0
[R-] dfu-util                                                             0.11
[R.] disable-breaking-updates.py                                          <none>
[R.] discord                                                              0.0.128
[R.] discord.desktop                                                      <none>
[R.] djvulibre                                                            3.5.29, 3.5.29-lib
[R.] docbook-xsl-ns                                                       1.79.2
[R.] etc-UPower-UPower.conf                                               <none>
[R.] etc-xdg-xdg-desktop-portal-niri-portals.conf                         <none>
[R.] etc-xdg-xdg-desktop-portal-portals.conf                              <none>
[R.] etc-zinputrc                                                         <none>
[R.] etc-zprofile                                                         <none>
[R.] etc-zshenv                                                           <none>
[R.] etc-zshrc                                                            <none>
[R.] eww                                                                  0.6.0-unstable-2025-06-30
[R.] exempi                                                               2.6.6
[R.] exfat                                                                1.4.0
[R.] exiv2                                                                0.28.8, 0.28.8-lib
[R.] f2fs-tools                                                           1.16.0, 1.16.0-lib
[R-] fastfetch                                                            2.60.0, 2.60.0-man
[R.] fix-qt-builtin-paths.sh                                              <none>
[R.] fix-qt-module-paths.sh                                               <none>
[R.] flex                                                                 2.6.4
[R.] font-awesome                                                         7.2.0
[R.] frameworkintegration                                                 6.24.0
[R.] freeglut                                                             3.6.0
[R.] freeglut-mupdf                                                       3.0.0-r13ae6aa2c2f9a7b4266fc2e6116c876237f40477
[R.] frei0r-plugins                                                       2.5.0
[R.] fzy                                                                  1.1
[R.] gcc-arm-embedded                                                     15.2.rel1
[R.] gcr                                                                  3.41.2, 4.4.0.1
[R.] gd                                                                   2.3.3
[R.] gdk-pixbuf-loaders.cache                                             <none>
[R.] gexiv2                                                               0.14.6
[R.] gfortran                                                             14.3.0-lib, 14.3.0-libgcc
[R.] gh                                                                   2.88.1
[R.] gh-config.yml                                                        <none>
[R.] ghostscript-with-X                                                   10.06.0, 10.06.0-fonts
[R.] ghq                                                                  1.9.4
[R.] girara                                                               2026.02.04
[R-] git                                                                  2.53.0, 2.53.0-doc
[R.] git-lfs                                                              3.7.1
[R.] git-minimal                                                          2.53.0
[R.] git.yazi                                                             26.1.22-unstable-2026-02-27
[R.] gitui                                                                0.28.0
[R.] gitui-key-config.ron                                                 <none>
[R.] gitui-theme.ron                                                      <none>
[R.] glew                                                                 2.2.0
[R.] glu                                                                  9.0.3
[R.] gnome-autoar                                                         0.4.5
[R-] gnome-keyring                                                        48.0
[R.] gnome-user-share                                                     48.2
[R.] gnumake                                                              4.4.1
[R.] gperftools                                                           2.17.2
[R.] granite                                                              7.8.1
[R.] gsl                                                                  2.8
[R.] gspell                                                               1.14.2
[R.] gst-libav                                                            1.26.5, 1.26.5-dev
[R.] gstreamer-vaapi                                                      1.26.5, 1.26.5-dev
[R.] gtk+                                                                 2.24.33
[R.] gtk-layer-shell                                                      0.10.0
[R.] gtkmm                                                                4.20.0
[R.] gumbo                                                                0.13.2
[R.] gvfs                                                                 1.58.4
[R.] hackgen-nf-font                                                      2.10.0
[R.] harfbuzz-icu                                                         12.3.0
[R.] harvid                                                               0.9.1
[R.] hdf5-cpp                                                             1.14.6
[R-] helix                                                                25.07.1
[R.] helix-default-runtime                                                <none>
[R.] helix-grammars                                                       <none>
[R.] helix-runtime                                                        <none>
[R.] helix-unwrapped                                                      25.07.1
[R.] hidapi                                                               0.15.0
[R.] hm_.sshconfig                                                        <none>
[R.] hm_config                                                            <none>
[R.] hm_config.kdl                                                        <none>
[R.] hm_fontconfigconf.d10hmfonts.conf                                    <none>
[R.] hm_fontconfigconf.d52hmdefaultfonts.conf                             <none>
[R.] hm_gitconfig                                                         <none>
[R.] hm_homefyukmdaa.configripgrepripgreprc                               <none>
[R.] hm_tmuxtmux.conf                                                     <none>
[R.] hm_woficonfig                                                        <none>
[R-] htop                                                                 3.4.1, 3.4.1-man
[R.] hwloc                                                                2.13.0-lib
[R.] hyphen                                                               2.8.8
[R.] ijs                                                                  10.06.0
[R.] imagemagick                                                          7.1.2-17
[R.] imv                                                                  5.0.1, 5.0.1-man
[R.] index-x86_64-linux-small                                             <none>
[R.] iniparser                                                            4.2.6
[R.] isl                                                                  0.20
[R.] jbig2dec                                                             0.20
[R.] jump-to-char.yazi                                                    25.5.31-unstable-2025-06-18
[R.] kdecoration                                                          6.6.3
[R.] kded                                                                 5.116.0
[R.] kglobalacceld                                                        6.6.3
[R.] kholidays                                                            6.24.0
[R.] kidletime                                                            6.24.0
[R-] killall-psmisc                                                       23.7
[R.] kitemmodels                                                          5.116.0, 6.24.0
[R.] knewstuff                                                            6.24.0
[R.] knighttime                                                           6.6.3
[R.] kpipewire                                                            6.6.3
[R.] krita                                                                5.2.15
[R.] krita-plugin-gmic                                                    3.2.4.1
[R.] krita-unwrapped                                                      5.2.15
[R.] kscreenlocker                                                        6.6.3
[R.] kseexpr                                                              4.0.4.0
[R.] kwayland                                                             6.6.3
[R.] kwin                                                                 6.6.3
[R.] layer-shell-qt                                                       6.6.3
[R.] leptonica                                                            1.87.0
[R.] libatasmart                                                          0.19
[R.] libavif                                                              1.3.0
[R.] libayatana-appindicator                                              0.5.92
[R.] libayatana-indicator                                                 0.9.4
[R.] libbacktrace                                                         0-unstable-2024-03-02
[R.] libblake3                                                            1.8.3
[R.] libblockdev                                                          3.4.0
[R.] libbytesize                                                          2.12
[R.] libcdio                                                              2.3.0-lib
[R.] libcdio-paranoia                                                     2.0.2
[R.] libcloudproviders                                                    0.4.0
[R.] libconfuse                                                           3.3
[R.] libcupsfilters                                                       2.1.1
[R.] libcxx                                                               21.1.8
[R.] libdbusmenu-glib                                                     16.04.0
[R.] libdovi                                                              3.3.1
[R.] libelf                                                               0.8.13
[R.] libexif                                                              0.6.25
[R.] libftdi                                                              1.5-unstable-2023-12-21
[R.] libgit2                                                              1.9.2-lib
[R.] libgphoto2                                                           2.5.33
[R.] libgsf                                                               1.14.55
[R.] libgxps                                                              0.3.2
[R.] libheif                                                              1.20.2-lib, 1.21.2-lib
[R.] libid3tag                                                            0.16.3
[R.] libimagequant                                                        4.4.1
[R.] libiptcdata                                                          1.0.5
[R.] libjxl                                                               0.11.1, 0.11.2
[R.] libkscreen                                                           6.6.3
[R.] libldac-dec                                                          0.0.2-unstable-2024-11-12
[R.] liblo                                                                0.32
[R.] liblqr                                                               1-0.4.3
[R.] libmanette                                                           0.2.13
[R.] libmpc                                                               1.3.1
[R.] libmtp                                                               1.1.22
[R.] libmypaint                                                           1.6.1
[R.] libndctl                                                             83, 83-man
[R.] libnfs                                                               5.0.2
[R.] libnma                                                               1.10.6
[R.] libnvme                                                              1.16.1
[R.] libosinfo                                                            1.12.0
[R.] libplacebo                                                           7.351.0
[R.] libportal-gtk4                                                       0.9.1
[R.] libppd                                                               2.1.1
[R.] libqaccessibilityclient                                              0.6.0
[R.] libraqm                                                              0.10.4
[R.] libraw                                                               0.21.5b-lib
[R.] libsepol                                                             3.10, 3.10-bin, 3.10-dev
[R.] libserialport                                                        0.1.2
[R.] libshumate                                                           1.5.3
[R.] libspectre                                                           0.2.12
[R.] libsysprof-capture                                                   49.0
[R.] libtraceevent                                                        1.9
[R.] libtracefs                                                           1.8.3
[R.] libunibreak                                                          6.1
[R.] libunity-unstable                                                    2021-02-01
[R.] liburing                                                             2.14
[R.] libutempter                                                          1.2.1
[R.] libwebsockets                                                        4.4.1
